"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Bernard Tschumi","Parc de la Villette, Le Case Vide, Paris, France (Axonometric of folly)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1984","Pen, ink, gouache, and airbrush on paper","37 3/16 x 37 5/16"" (94.5 x 94.8 cm)","© 2022 Bernard Tschumi","Gift of the Peter Norton Family Foundation","Architecture and Design"," Floor 2"," 216","https://www.moma.org/media/W1siZiIsIjYwMTA5Il0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=3a7016b30e4fa22e","85","On view"
"Frank Lloyd Wright","American System-Built Houses for The Richards Company project (Exterior perspective of model D101)","""You Can Own an American Home,"" trumpeted a 1917 Chicago newspaper's full-page advertisement for Frank Lloyd Wright's new ""System-Built Houses""-low-cost houses assembled from factory-produced elements. Customers requesting plans and brochures from the Richards Company would have received prints like these illustrating the many house models from which they could have chosen. Modeled on Japanese woodblock prints, the style of Wright's lithographs evinces his life-long love of Japanese art. The high horizon line, the planar flatness of foreground and sky, the silhouetted foliage, and the red square (or ""chop"") framed by the text-all suggest a studied japonisme. Most likely the originals were prepared by Antonin Raymond, Wright's assistant on the contemporary Imperial Hotel project in Tokyo.
The System-Built Houses were Wright's first experiment with mass production. Like many modern architects, he confronted both the benefits of the rationalized standardization associated with machine production and the desire for individual expression. ""Individuality is a national ideal"", Wright proclaimed in 1910, and for him this ideal was symbolized by the American house. Thus he developed a system that allowed variety within an overall unity. Regardless of house size and plan, most of the details were ""conventionalized"", a term Wright applied to a principle of abstracting form to its essentials. The houses were constructed of wood framing, floors, joists, rafters, roofs, and trim. To streamline the construction process, lumber was measured and precut in the Richards Company factory, then shipped to the site where it was to be assembled, thus saving the contractor and the customer time and money.
Wright liked to give his houses descriptive names, for example La Miniatura (pp. 62-63), but the System-Built Houses bear perfunctory labels, such as D101. There were dozens of models, ranging from one to three stories, and the isometric plans illustrate numerous room configurations as well as ideas on how to furnish them. The designs recall Wright's earlier Prairie Houses, named for the landscape of his native Midwest. The characteristic low cantilevered roofs, the linear wood trim visually unifying the stucco wall planes, and the geometric decoration of the art-glass windows constitute a compelling modern alternative to the typical suburban bungalow. An untold number of System-Built Houses were built, mostly in the Midwest. In the following decades Wright continued to experiment with a range of materials and construction systems in an effort to reduce the expense of house building and to give industrialized methods character, expression, and personality.

		Publication excerpt from an essay by Peter Reed, in Matilda McQuaid, ed., Envisioning Architecture: Drawings from The Museum of Modern Art, New York: The Museum of Modern Art, 2002, pp. 44-45.","1915–1917","Lithograph","11 x 8 1/2"" (27.9 x 21.6 cm)","© 2022 Frank Lloyd Wright Foundation / Artists Rights Society (ARS), New York","Gift of David Rockefeller, Jr. Fund, Ira Howard Levy Fund, and Jeffrey P. Klein Purchase Fund","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjI2NDUiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgOTAgLXJlc2l6ZSAyMDAweDE0NDBcdTAwM2UiXV0.jpg?sha=96bd109fbbd0d923","242","On view"
"Ludwig Mies van der Rohe","Resor House project, Jackson Hole, Wyoming (Interior perspective of living room and south glass wall)","This commission for a vacation house near Jackson Hole, Wyoming, in the Grand Teton Mountains, brought Mies van der Rohe to the United States for the first time, in 1937. These photocollages are a departure from the architect’s earlier photomontages. Instead of a composite image composed by cut–and–pasting different photographs, the photographic content is presented in dialogue with an architectural sketch. Rather than an external, urban scene, the nearly dematerialized architecture of the interior stages a view onto the surrounding landscape. The design is limited to spare horizontal lines that indicate the planes of floor and ceiling and slender cruciform columns that span between them. The overscaled and vividly textured landscape imagery was taken from film posters and magazines. It acts both as a visual extension of the architecture and an illusionistic space that distorts and rearranges the linear perspective of the drawing.

		Gallery label from Cut ’n’ Paste: From Architectural Assemblage to Collage City, July 10–December 1, 2013.
	




        Additional text






In 1937, Ludwig Mies van der Rohe accepted an invitation to visit the United States for the purpose of designing a vacation home for Mr. and Mrs. Stanley Resor near Jackson Hole, Wyoming. The house was to span a stream that branched off the Snake River; the Grand Tetons loomed in the distance. By the next year Mies had emigrated to the United States to head the architecture school at the Illinois Institute of Technology, Chicago. Although the clients had lost interest in pursuing the project, Mies continued to revise the design and created a number of new drawings, including this collage. George Danforth and William Priestley, students of Mies's, produced the collage, which represents a view from the main living area to the landscape beyond.
In preparing his original design, Mies had made sketches showing freestanding elements—a bench facing the view, a long low cabinet defining the dining space, and a taller bookcase creating a reading area. The strip of wood veneer in the collage seems to be a vestige of the cabinet while the cutout of a painting (Paul Klee's Gay Repast, 1928) reflects the proportions of the bookcase. The disposition of these elements appears neither functional nor even literal, but rather suggests the flowing nature of the space Mies envisaged.
Mies had used collage as a presentation technique throughout his career, beginning with the Bismarck Monument Project of 1910. In many earlier instances he had used collage to construct more realistic views; this and other collages of the 1930s and ""40s, however, are less pictorial, more evocative. Thus the photograph of the rugged mountain landscape collaged into the window frames, with cowboys on horseback, does not represent the actual view from the site but suggests what could be considered a fantasy view on the architect's part.

		Publication excerpt from an essay by Terence Riley, in Matilda McQuaid, ed., Envisioning Architecture: Drawings from The Museum of Modern Art, New York: The Museum of Modern Art, 2002, p. 90.","1939","Graphite, wood veneer, cut-and-pasted gelatin silver photographs, and cut-and-pasted photoreproduction (of Paul Klee's Colorful Meal, 1939) on illustration board","30 x 40"" (76.1 x 101.5 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Mies van der Rohe Archive, gift of the architect","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjM0NzkzNiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=0880375eabb3abb0","749","On view"
"R. Buckminster Fuller","A Minimum Dymaxion Home project (Elevation, axonometric, and plan)","""How much does your house weigh?"" This typical provocation by Buckminster Fuller was aimed at critics of his Dymaxion House, a radically new environment for dwelling introduced in 1927 and so named for its ""maximum gain of advantage from minimal energy input."" This 1,600-square-foot house weighed only three tons; its cost was about the same as the price of a car. The dream of a low-cost factory-built house captured the attention of many socially conscious architects in the twentieth century: if the automobile industry could mass-produce their products quickly, efficiently, and relatively cheaply, why couldn""t a similar system be applied to housing? Perhaps no one pushed this idea as far as Fuller, an extraordinary genius, inventor, philosopher, architect, and engineer.
In the Dymaxion House, a central aluminum mast contains all the mechanical elements of the building in its core. Two hexagonal decks are suspended from this mast by triangulated tension cables. The house is enclosed within walls of double-panel vacuum glazing and is a fully air-conditioned environment. One of Fuller's students called the Dymaxion House a metallurgical pound cake, and indeed the rooms are divided into wedge shapes, seen most clearly in the color-coded plan.
The unconventional shape, structure, and materials of the Dymaxion House stood in sharp contrast to buildings by leading modernists such as Le Corbusier and Mies van der Rohe. Le Corbusier had described his own mass-produced housing as a ""machine for living in,"" and the Dymaxion House was unabashedly machinelike, but Fuller was highly critical of modern European architects, who he felt were preoccupied with cosmetic concerns that merely symbolized or aestheticized functional elements without a clear and honest display of function and efficiency.
The Dymaxion House never went into production, but after World War II, Fuller introduced a new version, the aluminum Wichita House, to be manufactured by the aircraft industry. Although several thousand advance orders were received, only one was built; the enterprise collapsed under bureaucratic delays. Fuller went on to design the famous Geodesic Dome, which applied some of the same principles of efficiency, shape, system, and materials that he had explored in the Dymaxion House. His work inspired many architects, but he was also accused of being overly technical at the expense of aesthetic merit, a charge to which he responded, ""I never work with aesthetic considerations in mind, but I have a test: if something isn""t beautiful when I get finished with it, it's no good.""

		Publication excerpt from an essay by Peter Reed, in Matilda McQuaid, ed., Envisioning Architecture: Drawings from The Museum of Modern Art, New York: The Museum of Modern Art, 2002, pp. 64-65.
	




        Additional text






R. Buckminster Fuller's Dymaxion House was inspired by a desire to create widely available low cost housing. Fuller believed that by adopting the efficient and cost-effective assembly-line production methods used for the automobile he could produce a home at the same price as a car. The unusual hexagonal-shaped house was clad with double-panel vacuum-glazed walls and was fully air-conditioned. Its central aluminum core housed all mechanical equipment and provided the support structure for the roof and floor. Fuller's goal, ""maximum gain of advantage from minimal energy input,"" was never realized, but his concept introduced a radical new way of living to the general public. Despite numerous early orders, only one modified postwar version of the house was ever built.

		Publication excerpt from an essay by Bevin Cline and Tina di Carlo, in Terence Riley, ed., The Changing of the Avant-Garde: Visionary Architectural Drawings from the Howard Gilman Collection, New York: The Museum of Modern Art, 2002, p. 16.","1927","Graphite on paper","32 7/8 x 19"" (83.5 x 48.3 cm)","","Gift of The Howard Gilman Foundation","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjExNTIyIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=6e0ab764bd0afbe9","804","On view"
"Lauretta Vinciarelli","Orange Sound, project","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1999","Watercolor and colored ink on paper","30 x 22"" (76.2 x 55.9 cm)","© 2022 Lauretta Vinciarelli","Mrs. Gianluigi Gabetti Purchase Fund","Architecture and Design"," Floor 2"," 216","https://www.moma.org/media/W1siZiIsIjU5ODQzIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=96c342a020ca2fec","947","On view"
"Steven Holl Architects, Steven Holl with Mark Janson, Joseph Fenton, Suzanne Powadiuk, James Rosen","Bridge of Houses Project, Melbourne, Australia (Scale model 1/16"" = 1'0"")","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1979–1982","Wood","4 1/2 x 2 1/2 x 48 7/8"" (11.4 x 6.4 x 124.2 cm)","© 2022 Steven Holl","Given anonymously and David Rockefeller, Jr. Purchase Fund","Architecture and Design"," Floor 2"," 216","https://www.moma.org/media/W1siZiIsIjIyNjQ3MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=7f48e816af60bb5f","968","On view"
"Rem Koolhaas, Julien Monfort, Jeroen Thomas, Yo Yamagata, Jeanne Gang, Chris Dondorp","Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France","This house, designed for a couple and their three children, reflects the physical needs of the husband, who, following an automobile accident, uses a wheelchair. The architect conceived the project as three houses on top of one another. A very large lift, open on all sides, travels between the three levels. Like an itinerant room, it moves alongside a three-story wall of shelves that hold books, files, artworks, and wine within the husbands easy reach.

		Gallery label from Born out of Necessity, March 2, 2012–January 28, 2013.","1994-98","Aluminum, plastic, metal, composite board, rock, electric lights and motor","12 7/8 x 52 1/8 x 18 3/16"" (32.7 x 132.4 x 46.2 cm)","© 2022 Rem Koolhaas","Gift of Patricia Phelps de Cisneros in honor of Terence Riley","Architecture and Design"," Floor 2"," 216","https://www.moma.org/media/W1siZiIsIjIyNzkyMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=d9a52ba7f084621d","974","On view"
"Frank Lloyd Wright","Architectural block from the Imperial Hotel, Tokyo","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1913–1923","Terracotta","8 1/2 x 8 5/16 x 2 5/8"" (21.6 x 21.1 x 6.7 cm)","© 2022 Frank Lloyd Wright Foundation / Artists Rights Society (ARS), New York","Gift of Barbara Pine","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjU4MjQyIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=0abadd86a5c46cbd","996","On view"
"Herzog & de Meuron, Basel, Jacques Herzog, Pierre de Meuron with Karl Blossfeldt","Facade Panel from the Ricola Europe Factory and Storage Building, Mulhouse-Brunnstatt, France","For the factory and storage facility they built for herbal lozenge producer Ricola, Herzog & de Meuron reimagined a building’s façade as a surface across which images can circulate and communicate. The building’s location on a wooded plot, and the herbal ingredients of the lozenges made there, led the architects to the turn-of-the-century German photographer Karl Blossfeldt, who was known for his photographs of plants.
They silkscreened [his image] of a greatly magnified yarrow leaf onto individual polycarbonate panels. Fitted together in stacked rows, the panels form the two long walls of the rectangular building, creating screens of repeating leaves that filter in sunlight and glow softly from its lights at night. Blossfeldt’s precise framing, and his use of a magnifying camera, gave all of the plants he captured a sculptural dimensionality; multiplied across the building’s façade, his leaf resembles an architectural relief.

		Additional text from What Is Contemporary Art? online course, Coursera, 2019","1992-93","Silkscreen on acrylic, framed in aluminum","78 3/4 x 80 1/2 x 1 5/8"" (200 x 204.5 x 4.2 cm)","","Gift of the architects in honor of Philip Johnson","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjIxMTI5MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a39ff35f16de2e81","1033","On view"
"Frank Lloyd Wright","Clerestory windows from the Avery Coonley Playhouse, Riverside, IL","Wright designed a playhouse encircled by a band of stained–glass windows as an addition to the suburban Chicago estate of the industrialist Avery Coonley. Composed of brightly colored geometric motifs, these windows suggest balloons, confetti, and flags. Wright described this prominent architectural element as a ""kinder–symphony.” Mrs. Queene Ferry Coonley, like Wright’s mother and his first wife, Catherine, was drawn to the educational theories and “Gifts” of Friedrich Froebel, and she commissioned the playhouse as a kindergarten for her daughter and other neighborhood children.

		Gallery label from Designing Modern Women 1890–1990, October 5, 2013–October 1, 2014.
	




        Additional text






To enliven the interior of his Avery Coonley Playhouse, a kindergarten in the suburbs of Chicago for a private client, Frank Lloyd Wright designed stained-glass clerestory windows, which formed a continuous band around the top of the playroom. Each window in the series was composed of lively combinations of simple geometric motifs in bright colors. The windows were inspired by the sights of a parade, and their shapes abstracted from balloons, confetti, and even an American flag.
Wright designed the interior furnishings for almost all of his buildings, thereby creating an organic unity of the whole and its parts. Art glass was integral to the architectural fabric of many of his early works. The arranging of shapes into patterns in the Coonley Playhouse windows relates to the formal strategies Wright adopted in his architecture. His belief in the universality of fundamental geometric forms was as much a response to rational methods of modern machine production as an intuitive understanding that abstract forms carried shared spiritual values. Geometric forms had played a role in Wright's own childhood education through a German system of educational toys, the Froebel blocks, which he later credited as a major influence on his ideas about architecture.

		Publication excerpt from The Museum of Modern Art, MoMA Highlights, New York: The Museum of Modern Art, revised 2004, originally published 1999, p. 83.","1912","Clear and colored glass in zinc matrix","Each: 18 5/16 x 34 3/16"" (46.5 x 86.8 cm)","© 2022 Frank Lloyd Wright Foundation / Artists Rights Society (ARS), New York","Joseph H. Heil Fund","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjIyNjUwOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=98aabe6d9ef16a2a","1536","On view"
